price,manufacturer,model,year,transmission,mileage,fuelType,tax,mpg,engineSize
22890,skoda, Kodiaq,2019,Manual,5,Petrol,150,38.2,1.5
14950,skoda, Scala,2019,Manual,5000,Petrol,145,49.6,1.0
19995,vw, Golf,2019,Automatic,2000,Diesel,145,52.3,1.6
3900,ford, KA,2013,Manual,57830,Petrol,30,57.7,1.2
9400,ford, Ka+,2018,Manual,6399,Petrol,145,57.7,1.2
7390,ford, Fiesta,2015,Manual,36236,Petrol,0,65.7,1.0
7141,vw, Up,2016,Manual,24792,Petrol,20,64.2,1.0
10190,vw, Polo,2017,Manual,20375,Petrol,150,58.9,1.0
11199,ford, Focus,2018,Manual,25084,Petrol,145,57.7,1.0
6495,toyota, Aygo,2015,Manual,11599,Petrol,0,69.0,1.0
12450,vauxhall, Astra,2019,Manual,14818,Petrol,150,48.7,1.0
17200,vw, Golf,2019,Manual,2000,Petrol,145,47.1,1.5
13495,vw, Touran,2016,Manual,54400,Diesel,30,64.2,1.6
11298,vw, Golf,2016,Manual,40639,Diesel,20,68.9,2.0
7960,ford, B-MAX,2015,Manual,30563,Petrol,30,57.7,1.0
19500,ford, Focus,2019,Automatic,10679,Diesel,145,54.3,1.5
7695,ford, Fiesta,2015,Manual,25128,Petrol,125,54.3,1.2
15814,toyota, Auris,2019,Automatic,11928,Hybrid,135,68.8,1.8
10498,skoda, Yeti Outdoor,2016,Manual,40654,Diesel,30,62.8,2.0
16950,vw, Golf,2019,Manual,5203,Diesel,145,55.4,1.6
10495,vauxhall, Mokka X,2017,Manual,33892,Diesel,20,68.9,1.6
22000,toyota, C-HR,2018,Automatic,24417,Hybrid,135,74.3,1.8
7990,skoda, Fabia,2018,Manual,10343,Petrol,145,57.7,1.0
23000,hyundi, Tucson,2019,Semi-Auto,2100,Petrol,145,36.2,1.6
14000,skoda, Octavia,2018,Automatic,9943,Petrol,145,56.5,1.4
31579,vw, Golf,2019,Semi-Auto,9612,Petrol,145,36.2,2.0
10799,vauxhall, Mokka X,2017,Manual,33704,Diesel,20,68.9,1.6
19495,vw, T-Cross,2019,Manual,2000,Petrol,145,47.9,1.0
8490,ford, Mondeo,2015,Manual,62000,Diesel,20,67.3,2.0
10671,ford, Focus,2017,Manual,36013,Diesel,145,74.3,1.5
20500,ford, Mondeo,2019,Manual,24,Diesel,145,65.7,2.0
10498,ford, C-MAX,2016,Semi-Auto,25356,Diesel,20,64.2,1.5
17498,toyota, GT86,2017,Manual,36284,Petrol,145,36.2,2.0
11990,skoda, Octavia,2017,Manual,26767,Diesel,20,70.6,2.0
23799,vw, Golf,2018,Automatic,8725,Petrol,145,37.7,2.0
13771,hyundi, Tucson,2017,Manual,5877,Diesel,30,61.7,1.7
8995,vauxhall, Adam,2018,Manual,16500,Petrol,145,53.3,1.2
8800,ford, Fiesta,2016,Manual,46730,Petrol,0,65.7,1.0
9500,ford, KA,2018,Manual,10691,Petrol,150,47.9,1.2
12499,vw, Passat,2017,Manual,44216,Diesel,145,67.3,2.0
7299,ford, Focus,2014,Manual,45310,Petrol,20,60.1,1.0
9995,ford, Fiesta,2016,Manual,28021,Petrol,0,65.7,1.0
33990,skoda, Superb,2020,Semi-Auto,3500,Hybrid,135,188.3,1.4
15995,vw, Passat,2017,Manual,26335,Diesel,145,67.3,1.6
11795,hyundi, I20,2018,Manual,3792,Petrol,145,46.3,1.2
25991,toyota, C-HR,2019,Automatic,6829,Hybrid,135,74.3,1.8
8199,vauxhall, Zafira,2015,Manual,59479,Diesel,145,55.4,2.0
14000,ford, EcoSport,2018,Manual,4989,Petrol,150,54.3,1.0
10990,vauxhall, Astra,2019,Manual,17500,Petrol,150,61.4,1.0
8450,hyundi, I30,2017,Manual,61942,Diesel,20,72.4,1.6
5980,skoda, Octavia,2015,Manual,175500,Diesel,0,74.3,1.6
9290,vw, Polo,2016,Manual,31352,Petrol,20,60.1,1.2
17799,ford, Kuga,2019,Manual,9708,Diesel,145,54.3,1.5
20998,vw, Passat,2020,Semi-Auto,15,Diesel,145,49.6,1.6
9750,skoda, Rapid,2017,Manual,11550,Petrol,30,57.7,1.2
9899,ford, Fiesta,2017,Manual,2366,Petrol,145,54.3,1.2
17950,vw, Golf,2019,Manual,3000,Diesel,145,55.4,1.6
7499,ford, Fiesta,2016,Manual,35000,Diesel,0,78.5,1.5
6700,vauxhall, Corsa,2016,Manual,37152,Petrol,30,55.4,1.4
19995,hyundi, Santa Fe,2017,Manual,19222,Diesel,145,47.1,2.2
18950,vw, Polo,2019,Semi-Auto,5000,Petrol,145,46.3,1.0
14990,vw, Polo,2019,Manual,17872,Petrol,150,51.4,1.0
39888,vw, Caravelle,2019,Automatic,11441,Diesel,145,33.6,2.0
6990,vauxhall, Astra,2015,Manual,55033,Petrol,200,43.5,1.6
12495,ford, Focus,2018,Manual,20144,Petrol,150,57.7,1.0
9499,vw, Polo,2016,Manual,8100,Petrol,20,60.1,1.0
13690,ford, Focus,2018,Manual,16286,Diesel,150,80.7,1.5
14995,vauxhall, Mokka X,2019,Manual,12791,Petrol,145,39.2,1.4
7792,ford, Mondeo,2015,Manual,100000,Diesel,20,68.9,2.0
14298,ford, Focus,2018,Manual,3037,Petrol,145,57.7,1.0
6895,vauxhall, Astra,2014,Manual,29754,Diesel,125,58.9,2.0
11750,ford, Focus,2017,Manual,32746,Diesel,145,74.3,1.5
6995,toyota, Prius,2010,Automatic,67000,Hybrid,0,70.6,1.8
18998,ford, Focus,2019,Manual,2494,Petrol,145,49.6,1.5
17498,ford, Focus,2019,Automatic,11022,Petrol,145,51.4,1.0
17900,ford, Edge,2016,Manual,27500,Diesel,160,48.7,2.0
22000,ford, Mondeo,2020,Manual,10,Diesel,145,65.7,2.0
7995,vauxhall, Meriva,2017,Manual,29500,Petrol,145,47.1,1.4
8490,vw, Polo,2015,Manual,36571,Petrol,20,60.1,1.2
11000,ford, Focus,2017,Manual,27530,Petrol,20,60.1,1.0
8980,toyota, Yaris,2017,Manual,13800,Petrol,30,58.0,1.3
17356,vw, Golf,2019,Manual,3512,Petrol,145,47.1,1.5
9295,ford, EcoSport,2016,Manual,28053,Diesel,30,64.2,1.5
16399,ford, Fiesta,2019,Semi-Auto,7805,Petrol,145,48.7,1.0
20795,skoda, Octavia,2019,Semi-Auto,7200,Petrol,145,37.7,2.0
12495,vauxhall, Crossland X,2018,Manual,17000,Petrol,145,58.9,1.2
10995,vauxhall, Zafira,2016,Manual,9065,Petrol,200,42.2,1.4
9995,vw, Golf,2016,Manual,56132,Diesel,0,74.3,1.6
9499,toyota, Aygo,2019,Automatic,8185,Petrol,145,56.5,1.0
12898,ford, EcoSport,2018,Manual,15267,Petrol,145,53.3,1.0
10991,ford, Focus,2017,Manual,28081,Petrol,145,60.1,1.0
10692,vw, Polo,2017,Manual,18686,Petrol,20,60.1,1.2
6895,toyota, Aygo,2018,Manual,19057,Petrol,145,69.0,1.0
13995,ford, Focus,2018,Manual,12449,Petrol,145,57.7,1.0
10471,vw, CC,2015,Semi-Auto,51268,Diesel,125,58.9,2.0
5990,vw, Polo,2012,Automatic,60000,Petrol,150,47.9,1.4
17300,vw, Passat,2018,Semi-Auto,44416,Diesel,145,60.1,2.0
16290,vw, Golf,2017,Manual,36807,Diesel,20,67.3,2.0
15299,ford, Fiesta,2019,Manual,7221,Petrol,145,58.9,1.0
12499,ford, Kuga,2015,Manual,52748,Diesel,145,54.3,2.0
17999,skoda, Kamiq,2020,Manual,2394,Petrol,145,47.9,1.0
4491,vauxhall, Corsa,2012,Manual,61113,Petrol,125,51.4,1.4
14133,ford, Kuga,2016,Semi-Auto,28896,Diesel,150,52.3,2.0
13495,vw, Golf,2017,Manual,12656,Petrol,150,54.3,1.4
25990,ford, Focus,2017,Manual,13626,Petrol,145,36.7,2.3
11490,skoda, Fabia,2019,Manual,6548,Petrol,150,61.4,1.0
6722,vauxhall, Insignia,2015,Manual,83128,Diesel,0,76.3,2.0
19490,vw, Polo,2019,Semi-Auto,6594,Petrol,145,39.8,2.0
10790,vauxhall, Mokka,2016,Manual,16952,Petrol,200,42.2,1.4
14470,hyundi, Kona,2019,Manual,20189,Petrol,150,44.1,1.0
6998,vauxhall, Mokka,2015,Manual,73289,Petrol,160,44.8,1.4
15390,ford, Focus,2019,Manual,6692,Petrol,145,60.1,1.0
10995,skoda, Octavia,2017,Manual,54331,Diesel,20,70.6,2.0
5298,ford, Fiesta,2013,Manual,64628,Petrol,30,54.3,1.2
20000,ford, Mondeo,2019,Manual,33,Diesel,145,65.7,2.0
2995,ford, C-MAX,2009,Manual,87500,Petrol,235,39.8,1.8
16980,toyota, RAV4,2016,Automatic,24560,Petrol,205,43.5,2.0
15980,ford, Focus,2019,Manual,13999,Petrol,145,58.9,1.0
7990,vauxhall, Viva,2019,Manual,1936,Petrol,145,46.3,1.0
28595,vw, Golf,2019,Automatic,7899,Petrol,145,32.8,2.0
9100,ford, Fiesta,2017,Manual,29396,Petrol,145,65.7,1.0
4695,vauxhall, Agila,2015,Manual,60000,Petrol,30,55.4,1.2
16500,ford, Focus,2019,Manual,9066,Petrol,145,58.9,1.0
14799,ford, Fiesta,2018,Manual,6300,Petrol,145,55.4,1.0
12899,ford, Focus,2018,Manual,13791,Petrol,145,57.7,1.0
7498,toyota, Aygo,2017,Manual,16912,Petrol,150,68.9,1.0
8290,hyundi, I20,2016,Manual,12680,Petrol,30,55.4,1.2
10500,ford, Focus,2016,Automatic,26000,Diesel,30,64.2,2.0
26790,vw, Tiguan,2019,Semi-Auto,4442,Diesel,145,39.8,2.0
13990,ford, Fiesta,2018,Manual,14752,Petrol,145,65.7,1.0
10995,vw, Polo,2016,Semi-Auto,18500,Petrol,20,60.1,1.2
31500,vw, Arteon,2020,Semi-Auto,3000,Diesel,145,44.1,2.0
23499,ford, Kuga,2018,Semi-Auto,16200,Diesel,145,54.3,2.0
14995,skoda, Yeti Outdoor,2017,Manual,20941,Petrol,150,51.4,1.2
14690,vw, Polo,2019,Manual,5417,Petrol,150,52.3,1.0
9240,ford, Fiesta,2017,Manual,27667,Petrol,145,64.2,1.1
9000,ford, Fiesta,2016,Manual,25122,Petrol,0,65.7,1.0
10200,vw, Up,2020,Manual,10,Petrol,145,54.3,1.0
18823,toyota, RAV4,2016,Automatic,30045,Hybrid,20,57.6,2.5
9299,toyota, Yaris,2013,Automatic,35916,Hybrid,0,80.7,1.5
4621,vauxhall, Corsa,2014,Manual,46599,Petrol,125,51.4,1.2
10999,vw, Golf,2016,Manual,55932,Petrol,30,53.3,1.4
7998,hyundi, IX20,2016,Manual,30565,Petrol,125,50.4,1.4
12240,ford, Focus,2017,Automatic,15540,Petrol,145,46.3,1.5
8599,toyota, Aygo,2017,Manual,11190,Petrol,150,68.9,1.0
9400,vauxhall, Astra,2016,Manual,31331,Diesel,20,72.4,1.6
8495,vauxhall, Corsa,2018,Manual,24000,Petrol,145,55.4,1.4
11295,vauxhall, Mokka X,2017,Manual,29511,Diesel,145,70.6,1.6
13199,vauxhall, Grandland X,2019,Manual,28792,Petrol,145,44.1,1.2
15500,vw, Golf,2016,Manual,44871,Diesel,20,67.3,2.0
9342,vw, Golf SV,2015,Manual,41000,Diesel,30,65.7,2.0
11580,vw, Polo,2016,Semi-Auto,7789,Petrol,20,60.1,1.2
28995,hyundi, Santa Fe,2019,Automatic,14778,Diesel,145,39.8,2.2
8998,ford, Focus,2015,Manual,32492,Diesel,0,74.3,1.5
22900,skoda, Kodiaq,2019,Manual,13,Petrol,150,38.2,1.5
10500,ford, Fiesta,2018,Manual,23439,Petrol,145,65.7,1.0
12100,vauxhall, Mokka X,2017,Manual,8430,Petrol,200,42.2,1.6
