price,manufacturer,model,year,transmission,mileage,fuelType,tax,mpg,engineSize
25895,skoda, Superb,2020,Automatic,3463,Diesel,145,61.4,2.0
17000,ford, Kuga,2018,Manual,30646,Diesel,145,60.1,2.0
11990,vauxhall, Mokka X,2018,Manual,29998,Petrol,150,39.2,1.4
7650,ford, Fiesta,2017,Manual,44000,Diesel,0,78.5,1.5
11950,vw, Polo,2016,Semi-Auto,12100,Petrol,20,60.1,1.2
10499,ford, Fiesta,2017,Manual,20811,Petrol,20,62.8,1.0
21498,hyundi, Tucson,2019,Manual,1550,Hybrid,145,51.4,1.6
20000,ford, Focus,2018,Manual,15448,Petrol,145,41.5,2.0
7995,toyota, Auris,2016,Manual,71106,Diesel,0,80.7,1.4
5408,hyundi, I30,2013,Manual,68728,Diesel,0,76.3,1.6
8500,ford, S-MAX,2013,Manual,39704,Diesel,145,54.3,1.6
20990,vw, T-Roc,2020,Manual,5000,Other,145,44.1,1.0
11440,ford, Fiesta,2017,Semi-Auto,5890,Petrol,145,54.3,1.0
11498,vauxhall, Mokka X,2017,Manual,15592,Petrol,145,42.2,1.6
11841,vauxhall, Astra,2017,Semi-Auto,9939,Petrol,125,50.4,1.4
21799,vw, Tiguan,2018,Semi-Auto,17372,Petrol,145,40.4,1.4
13000,vw, Tiguan,2016,Manual,29800,Diesel,125,56.5,2.0
6545,ford, Focus,2013,Manual,47738,Diesel,20,67.3,1.6
20250,vw, Golf,2019,Manual,99,Diesel,145,55.4,2.0
16590,vauxhall, Grandland X,2019,Manual,8867,Petrol,145,44.1,1.2
11399,vw, Golf,2017,Manual,57959,Diesel,145,61.4,1.6
22859,skoda, Kodiaq,2018,Automatic,19413,Diesel,150,56.5,2.0
11298,vauxhall, Mokka X,2018,Manual,28993,Petrol,145,47.1,1.4
9700,vw, Passat,2015,Semi-Auto,53485,Diesel,30,62.8,2.0
8398,ford, Focus,2016,Manual,31221,Petrol,20,61.4,1.0
14900,vauxhall, Mokka X,2019,Manual,8581,Petrol,145,39.2,1.4
17500,vw, Tiguan,2017,Manual,21234,Petrol,145,48.7,1.4
10995,vauxhall, Corsa,2019,Manual,795,Petrol,145,43.5,1.4
13495,vw, Polo,2018,Manual,15504,Petrol,145,52.3,1.0
3495,ford, Mondeo,2011,Manual,137000,Diesel,145,53.3,2.0
17495,vw, CC,2015,Semi-Auto,21700,Diesel,125,56.5,2.0
5998,toyota, Aygo,2016,Manual,41293,Petrol,0,69.0,1.0
16450,vw, Passat,2017,Semi-Auto,41800,Diesel,30,62.8,2.0
12191,ford, Kuga,2017,Manual,26251,Diesel,145,64.2,1.5
12490,vauxhall, Astra,2019,Manual,9556,Petrol,150,48.7,1.0
10950,skoda, Fabia,2019,Manual,7012,Petrol,145,60.1,1.0
18490,vw, Golf,2020,Manual,100,Diesel,145,57.7,1.6
9000,ford, Fiesta,2017,Manual,13532,Petrol,145,64.2,1.1
9998,vauxhall, Corsa,2016,Manual,7199,Diesel,0,85.6,1.3
16999,ford, Focus,2018,Manual,10983,Petrol,145,60.1,1.0
9000,vauxhall, Adam,2017,Semi-Auto,14771,Petrol,145,56.5,1.4
17598,vauxhall, Corsa,2020,Manual,10,Petrol,150,52.3,1.2
5995,ford, Fiesta,2011,Manual,49971,Petrol,125,50.4,1.2
15000,ford, Focus,2018,Manual,12234,Diesel,145,74.3,1.5
7850,ford, Fiesta,2017,Manual,16210,Petrol,150,54.3,1.2
9450,vw, Golf,2015,Manual,41288,Diesel,0,68.9,1.6
12710,hyundi, Kona,2017,Manual,6206,Petrol,145,52.3,1.0
7885,skoda, Fabia,2017,Manual,32500,Petrol,20,60.1,1.2
9990,ford, Fiesta,2017,Manual,12691,Petrol,145,65.7,1.0
12671,skoda, Yeti Outdoor,2017,Manual,25116,Petrol,125,51.4,1.2
12997,vw, Golf,2019,Manual,15346,Diesel,145,57.7,1.6
14990,vauxhall, Astra,2020,Manual,100,Petrol,145,54.3,1.2
10750,vw, Polo,2017,Manual,13040,Petrol,20,60.1,1.2
7795,hyundi, IX20,2016,Manual,55979,Petrol,125,50.4,1.4
6990,vauxhall, Astra,2016,Manual,21000,Petrol,125,52.3,1.4
5490,hyundi, IX35,2011,Manual,75617,Diesel,145,48.7,1.7
28999,vw, Golf,2019,Automatic,3972,Petrol,150,32.8,2.0
