Store,Date,Sales,Store_Size,Num_Employees,Num_Customers,Returns_Pct,Pct_On_Sale,Pct_Promotional,Marketing,TouristEvent,Econ_ChangeGDP,EconJobsChange,AnnualizedCPI
Louisville,7/1/12,109673,20100,68,531,1.03,9.96,0.0000471,July In Store Credit Card Signup Discount; In store 10% off accessories; Ad Words Independence Day Sale ID6.1339,No,0.5,,0.02
Louisville,7/2/12,131791,20100,34,476,0.41,8.65,0.0000471,July In Store Credit Card Signup Discount; In store 10% off accessories; Ad Words Independence Day Sale ID8.5144,No,,,
Louisville,7/3/12,134711,20100,42,578,0.31,8.96,0.0000471,July In Store Credit Card Signup Discount; In store 10% off accessories; Ad Words Independence Day Sale ID20.0807,No,,,
Louisville,7/4/12,97640,20100,54,569,0.83,10.08,0.0000471,July In Store Credit Card Signup Discount; In store 10% off accessories; Ad Words Independence Day Sale ID12.3747,No,,,
Louisville,7/5/12,129538,20100,62,486,0.51,9.8,0.0000471,July In Store Credit Card Signup Discount; ID5.3119,No,,,
Louisville,7/6/12,145286,20100,72,551,0.43,12.04,0.0000471,July In Store Credit Card Signup Discount; ID36.6079,No,,,
Louisville,7/7/12,132983,20100,63,821,0.76,8.43,0.0000471,July In Store Credit Card Signup Discount; ID4.3752,No,,750,
Louisville,7/8/12,120072,20100,67,541,0.59,11.07,0.000693728,July In Store Credit Card Signup Discount; ID20.3276,No,,,
Louisville,7/9/12,113811,20100,41,392,0.61,9.31,0.000693728,July In Store Credit Card Signup Discount; ID13.2671,No,,,
Louisville,7/10/12,108724,20100,39,392,0.33,6.98,0.000693728,July In Store Credit Card Signup Discount; ID44.6988,No,,,
Louisville,7/11/12,129067,20100,55,420,0.49,11,0.000693728,July In Store Credit Card Signup Discount; ID55.7791,No,,,
Louisville,7/12/12,119159,20100,52,457,0.92,9.05,0.000693728,July In Store Credit Card Signup Discount; ID47.8566,No,,,
Louisville,7/13/12,119321,20100,62,477,0.86,7.65,0.000693728,July In Store Credit Card Signup Discount; ID63.3107,No,,,
Louisville,7/14/12,134283,20100,59,617,0.5,9.79,0.000693728,July In Store Credit Card Signup Discount; ID44.1093,No,,1250,
Louisville,7/15/12,132166,20100,76,467,0.9,7.08,0.001542543,July In Store Credit Card Signup Discount; Summer Swim Mailer ID75.4052,No,,,
Louisville,7/16/12,124665,20100,41,402,0.65,9.61,0.001542543,July In Store Credit Card Signup Discount; Summer Swim Mailer ID56.8838,No,,,
Louisville,7/17/12,102778,20100,31,420,0.17,7.65,0.001542543,July In Store Credit Card Signup Discount; Summer Swim Mailer ID71.9272,No,,,
Louisville,7/18/12,112324,20100,31,440,0.76,6.36,0.001542543,July In Store Credit Card Signup Discount; Summer Swim Mailer ID89.3386,No,,,
Louisville,7/19/12,123701,20100,50,487,0.61,8.98,0.001542543,July In Store Credit Card Signup Discount; ID84.9644,No,,,
Louisville,7/20/12,155078,20100,55,487,1.07,8.48,0.001542543,July In Store Credit Card Signup Discount; ID90.2808,No,,,
Louisville,7/21/12,143601,20100,73,683,0.31,6.83,0.001542543,July In Store Credit Card Signup Discount; ID38.1519,No,,-3000,
Louisville,7/22/12,129513,20100,52,495,0.22,6.13,0.001841075,July In Store Credit Card Signup Discount; ID145.2652,No,,,
Louisville,7/23/12,113823,20100,59,412,0.54,8.04,0.001841075,July In Store Credit Card Signup Discount; ID153.2562,No,,,
Louisville,7/24/12,128406,20100,62,412,0.14,6.82,0.001841075,July In Store Credit Card Signup Discount; ID112.1737,No,,,
Louisville,7/25/12,124820,20100,64,458,0.77,6.23,0.001841075,July In Store Credit Card Signup Discount; ID129.864,No,,,
Louisville,7/26/12,102571,20100,73,468,1.19,10.93,0.001841075,July In Store Credit Card Signup Discount; ID60.6535,No,,,
Louisville,7/27/12,148682,20100,90,533,0.59,7.9,0.001841075,July In Store Credit Card Signup Discount; ID77.4283,No,,,
Louisville,7/28/12,143955,20100,98,674,0.78,9.88,0.001841075,July In Store Credit Card Signup Discount; ID34.5335,No,,250,
Louisville,7/29/12,128910,20100,49,478,0.5,9.83,0.017232143,July In Store Credit Card Signup Discount; ID187.4951,No,,,
Louisville,7/30/12,126560,20100,44,403,0.72,5.95,0.017232143,July In Store Credit Card Signup Discount; ID1.1934,No,,,
Louisville,7/31/12,132781,20100,44,384,0.44,7.91,0.017232143,July In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID81.6142,No,,,
Louisville,8/1/12,122674,20100,44,488,0.54,7.94,0.017232143,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID4.2822,No,,,0.071985582
Louisville,8/2/12,117797,20100,70,496,0.73,9.74,0.017232143,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID4.9739,No,,,
Louisville,8/3/12,125012,20100,60,516,0.31,11.57,0.017232143,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID23.147,No,,,
Louisville,8/4/12,123448,20100,65,694,0.88,8.29,0.017232143,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID24.5867,No,,3500,
Louisville,8/5/12,124492,20100,87,544,0.67,9.71,0.044655973,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID6.5476,No,,,
Louisville,8/6/12,95675,20100,36,384,0.35,10.83,0.044655973,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID25.2042,No,,,
Louisville,8/7/12,100043,20100,41,384,0.02,8.72,0.044655973,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID19.5236,No,,,
Louisville,8/8/12,114334,20100,41,459,0.9,10.1,0.044655973,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID34.117,No,,,
Louisville,8/9/12,114221,20100,64,422,0.59,8.71,0.044655973,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID41.7458,No,,,
Louisville,8/10/12,149289,20100,78,564,1.12,13.79,0.044655973,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID39.9777,No,,,
Louisville,8/11/12,136509,20100,60,647,0.74,11.55,0.044655973,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID74.7301,No,,-5000,
Louisville,8/12/12,120571,20100,52,554,0.61,8.39,0.044466096,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID92.5855,No,,,
Louisville,8/13/12,122664,20100,34,404,0.44,10.25,0.044466096,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID37.7972,No,,,
Louisville,8/14/12,105718,20100,56,384,0.42,8.45,0.044466096,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID94.5722,No,,,
Louisville,8/15/12,108828,20100,52,404,0.42,8.98,0.044466096,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID93.2012,No,,,
Louisville,8/16/12,149159,20100,95,565,0.38,8.26,0.044466096,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID110.3682,No,,,
Louisville,8/17/12,116824,20100,61,535,0.73,9.25,0.044466096,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID39.1052,No,,,
Louisville,8/18/12,126751,20100,75,638,0.27,6.91,0.044466096,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID104.7461,No,,2000,
